Position,Location,Description,Organization,Deadline,Websites
French Immersion volunteers (K-6), Ottawa Carleton District School Board (OCDSB) Elementary Schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


The Ottawa Carleton District School Board (OCDSB) is welcoming volunteers who can read to students and/or work with students in some of their French Immersion classrooms (K-6).  Your role as a volunteer and the schedule is determined at your school interview prior to beginning your placement.  A police vulnerable sectors check is required.  ", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41535
Tutors needed to support English Language Learners (Kindergarten to adult), various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


Volunteers needed to support children and adult English language learners. Volunteers will receive training before being matched to support students in Pre-K to Grade 12 or in the Adult LINC programs.   


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


The volunteer will collaborate with the educator to enhance the daily English language learning opportunities for students. The students are mainly new Canadians. 


Requires a current vulnerable sector police clearance (PVSC). (Instructions on how to get a PVSC will be emailed to you after you apply on-line through ONFE). All volunteers assist under the supervision of a teacher. If you are interested, please register on-line at www.onfe-rope.ca/ovie/application  and quote this volunteer opportunity. Once the screening process is completed and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview to discuss the details/scheduling. Thank you for your consideration.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41534
Full Day Kindergarten - classroom helpers, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


Many elementary schools within the Ottawa Carleton District School Board (OCDSB)are now offering full-day classes and care for Kindergarten students.


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


 The Ottawa Volunteers in Education (OVIE)program are looking for volunteers who can help in a Kindergarten classroom setting to assist the teacher with the daily routines. A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41533
Special Education - Autism Unit, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


The Ottawa Carleton District School Board has a few elementary schools looking for volunteers to assist in their Autism Unit.


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


 A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS.(Instructions on how to get a PVSC will be emailed to you after you apply on-line). All volunteers assist under the supervision of a teacher. If you are interested, please register on-line at www.onfe-rope.ca/ovie/application and quote this volunteer opportunity. Once the screening process is complete and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview to discuss the details/scheduling. Thank you for your consideration.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41532
OttawaReads Employer Supported Early Literacy Program, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


What is your company doing to promote literacy? NOTE: This is a group volunteer opportunity--you need to lead a team of volunteer readers from your organization.


If you want to volunteer as an individual please register as OVIE volunteer www.onfe-rope.ca/ovie/application. If you have a team of readers for OttawaReads please proceed to register for this position. The Ottawa Network for Education s OttawaReads program is a unique school/business partnership that draws volunteers from the corporate and public sectors to read one-on-one with children in Kindergarten to Grade 3 classes in Ottawa schools. After attending an orientation/training session in their place of work, volunteers fulfill a weekly or bi-weekly one-hour commitment to read to students in local schools. Each participating organization is partnered with a school in their own geographic location. The number of volunteers requested from each organization is based upon the size of the company and the requirements of the partnering school. We currently have several schools on the waitlist for new OttawaReads partners. Can you help? Be a team leader in your place of work!", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41531
Live Music and Pub Night!, Ottawa,"Are you a live music fan? Like getting out and watching music in a local pub?  We are looking for someone who is willing to commit one or two evenings a month to check out some live music and pubs with one of our members, someone with an intellectual disability. This person lives in the west end and would prefer a match who drives! If this sounds fun to you, get in touch with Alex to learn more.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41159
Concert Companion, Ottawa,"Do you love concerts? A person with an intellectual disability is looking for someone to get together with to see a variety of different concerts or theatre. If this sounds interesting to you, please contact Alex for more information or to set up an interview.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41158
Time for Trampoline!, 2197 Riverside Drive,"Do you like trampolining or are you interested in learning more? If so, a person with an intellectual disability and a PASSION for trampoline would love to meet you! If you're interested in setting up an interview or just want more information, contact Alex. This would be a once a month type of commitment.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41157
Volunteer X2, 300- 2197 Riverside Drive,"Currently seeking a female volunteer who is available the last Monday afternoon of every month to join one of our members, someone with an intellectual disability, during her volunteer work at Dress for Success (https://ottawa.dressforsuccess.org/) !


This member is an avid volunteer at Dress for Success at their Donation Days once a month (organizing incoming clothing and accessory donations) and is looking for someone to join her! 


You'd be volunteering for LiveWorkPlay AND Dress for Success - Volunteering X2 !


Let Alex know if you are interested!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41156
Gym Enthusiast!? , 2197 Riverside Drive," Interested in getting to know someone else while working out? If so, a person with an intellectual disability would like to meet you! We have members that go to Movati and the YMCA! Contact Alex for more information and to begin the interview process.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41155
Workout Partner, Ottawa,"Do you love working out? A person with an intellectual disability is looking for company to work out with. We're looking for someone who already has a gym membership or is willing to get one or is willing to pay an affordable drop-in fee. We are looking for others who like to do at home fitness. We are also looking for people who go to Goodlife, the YMCA or Movati. If this sounds like an interesting way to get involved, please get in touch with Alex!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41154
Movie Companion (East/west/central), 2197 Riverside Drive,"Do you like going to the movies? A person with an intellectual disability is looking for someone to go to movies with, in the East end or downtown a few times per month. If this sounds interesting to you, please contact Alex to get more info or to schedule an interview!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41153
Cycling Companion Or E-Bikes! (East or West), 2197 Riverside Drive,"Are you a cycling enthusiast? A person with an intellectual disability is looking for company to go on long rides or short rides with. Another person is looking to ride E-Bikes with someone as well! If this sounds interesting to you, please contact Alex to set up an interview or to get more information! This is a once a week or once every other week type of commitment. 


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41152
"Shopping, Errands, Whatever!", 2197 Riverside Drive,"Do you love window shopping or spending time at the mall or running errands perhaps? If so, we know someone who would like to meet you! The volunteer position is a one on one match with a person who has an intellectual disability. Contact Alex for more information.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41151
Live Music and Pub Night!, Ottawa,"Are you a live music fan? Like getting out and watching music in a local pub?  We are looking for someone who is willing to commit one or two evenings a month to check out some live music and pubs with one of our members, someone with an intellectual disability. This person lives in the west end and would prefer a match who drives! If this sounds fun to you, get in touch with Alex to learn more.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41150
Do you have a hobby or interest you'd like to share?, 2197 Riverside Drive,"As a natural supports provider, your role will be to develop a supportive relationship with a person who has an intellectual disability while doing an activity you both enjoy. We are looking for someone who: is friendly and personable; is mature and responsible; respects commitments; is open and willing to learn about intellectual disabilities. Contact Alex to set up an interview today!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41148
Are you a great networker!?, Riverside Dr.,"Be a part of the LiveWorkPlayEmployment Task Force!


Do you remember how good it felt to get your first job? Your first pay cheque? Are you curious about other people? Do you enjoy networking and or connecting with your personal and or professional networks to make our community a better place for everyone?

If you answered yes, we need your help and we want to meet you!


LiveWorkPlay is looking for volunteers to join our Employment Task Force - a group of community champions working together to identify and connect LiveWorkPlay to local businesses and employers with the goal of developing job opportunities for people living with intellectual disabilities, dual diagnosis, and/or autism.


What we need from you:

- Join us for bi- monthly task force meetings, usually in the early evening,1.5 -2 hours, hosted at 2197 Riverside Drive

- Share ideas and personal and professional contacts that may be interested in learning more about the benefits of including employees with disabilities in the workplace

- Help us expand our contacts by participating in community networking events

- Share your time with us by approaching potential employers and spreading the word about the benefits of including employees with disabilities in the workplace


What you can expect from us:

- Light snack and refreshments provided at each meeting

-Opportunities to meet other like-minded people and increase your own personal network

- Opportunities to learn about the benefits to employers when they include employees with disabilities in the workplace

-Opportunities to hear about and contribute to the success stories of employers hiring employees with disabilities

- An opportunity to make a difference in the lives of people with disabilities and employers, help LiveWorkPlay build our organizational capacity, and contribute to make Ottawa a better community for all!


For more information about LiveWorkPlay please visit

http://liveworkplay.ca/



**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Jen to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41147
Sports Fan!?, Riverside Dr.,"Are you a big fan of watching sports? Do you enjoy going to a pub and grabbing a beer while watching sports? Are you a fan of going to see live sports? Well, you're in luck. One of our members, someone with an intellectual disability, loves all these things as well and is looking for someone to do all this with! It's just about companionship and doing something you enjoy with someone else!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date. ", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41146
Walking partner! (Kanata/Barrhaven/Baseline/Britannia/Orleans), 2197 Riverside Drive,"Do you enjoy going for walks? Are you interested in meeting and getting to know a person with an intellectual disability? There are people in a variety of neighbourhoods who would love to meet someone to walk and chat with about once per week. Walk with a companion! Why not!? There are even people interested in Nordic walking! If this sounds interesting to you, contact Alex to get more information or to set up an interview!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41145
Cooking Companion (East/West/Central), 2197 Riverside Drive,"Do you like to cook? Several people with intellectual disabilities who live in various parts of the city are looking for someone to come to their home in order to cook a meal together. The goal is to make it fun and provide company rather than to teach skills. If this sounds interesting to you, contact Alex for more info or to set up an interview!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41144
Dog Walking (various locations), Ottawa,"Do YOU have a dog?  Several people with intellectual disabilities who live in various parts of the city are looking for someone to walk with! Do you and your dog like walks and meeting new people?! The goal is to make it fun and provide company while getting to know someone new and have fun. If this sounds interesting to you, contact Alex for more info or to set up an interview!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41143
"Hiking/Kayaking (east, west)", 2197 Riverside Dr.,"Looking for someone to hike or kayak with this summer? Look no further, we have two males with intellectual disabilities (one in the east end and one in the west) who are looking for the same thing! Get to know someone new while doing something you both enjoy! Get in touch for more details!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41142
Let's hang out! Companions needed!, 2197 Riverside Drive,"Like to be spontaneous and hang out with others? If so there are many people with intellectual disabilities who are looking for someone to hang out with to do various things. Some would like to grab a drink and chat, others would like to check out museums and other cool events around Ottawa, some like to shop. Basically, this opportunity is about companionship. Please contact Alex if you have questions or are interested.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41141
"Do you love dinner, Movies or Shopping?", 2197 Riverside Drive,"Do you like going out to dinner, movies or shopping? Do you like to just hang out with people? If so, a person with an intellectual disability would love to meet you! If this sounds interesting to you, contact Alex for more info or to set up an interview! This is a once a week or once every other week type of commitment!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41140
Let's swim some laps!, Ottawa,"Do you love swimming? ? If so, a person with an intellectual disability would like to meet you! For more information or to set up an interview, please contact Alex!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41139
Tea and Talk Companion, 2197 Riverside Drive,"Do you like going out for a leisurely tea and some conversation? If so, we know someone who would like to meet you! The volunteer position would be a one on one match with a person who has an intellectual disability. For more information, or to set up an interview, contact Alex!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41138
Like to drive?, Ottawa,"Do you like to go for drives? Are you an experienced driver who is willing to teach someone else (using your car). If so, a person with an intellectual disability would love the opportunity to learn to drive with your help! If you would like to know more or would like to set up an interview, please contact Alex!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41137
Bowling Companion (East), 2197 Riverside Drive,"Do you love to bowl!? A person with an intellectual disability is looking for someone to bowl with a couple times a month. If this sounds interesting to you, contact Alex for more info or to set up an interview!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41136
Video Gamer!?, 2197 Riverside Drive,"Do you like playing video games? A person with an intellectual disability is seeking someone to get together with to game. If you're interested in meeting someone new, this is the opportunity for you! Please contact Alex for more information or to set up an interview!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41135
Group Member - Volunteer Advocate," Location varies - please contact. During the COVID-19 pandemic, the group is meeting virtually. The meeting is once a month on the 2nd Tuesday at 7-9pm.","•	attend and actively participate in the monthly education & action meetings

•	take action alongside fellow group members on the current campaign. Example of actions (but not limited to):

o	engaging with your Member of Parliament by writing or meeting with them

o	writing letters to the editor

o	organizing events

o	supporting the logistics of the group

o	being active on social media

o	taking part in the online community of Results Canada

o	fundraising

o	tabling at an event to talk about Results Canada

•	report on your actions to your Group Leader on a monthly basis 


What we're looking for:

•	Someone passionate about ending poverty in the Global South and committed to lead by taking action to build the political will to end poverty.

•	A “people person”, who is excellent at building relationships and who loves to inspire, develop and motivate others.

•	Someone with excellent verbal and written communication skills.

•	Someone who is able to go out of their comfort zone to create change.


To get started, fill out this online form and we'll send you the first steps to becoming a volunteer: https://resultscanada.ca/#sign-up", Results Canada," Jul 13, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41071
"Writer (letters to the editor, op-eds) as a volunteer advocate"," In the comfort of your home - once it'll be safe to do so (due to COVID-19 pandemic), you'll be invited to join the in-person group who meets every 2nd Tuesday of the month from 7-9pm. For the time being, the group is meeting virtually and you're invited to join.","Results is a global movement of passionate citizens committed to raising our voices for a world without extreme poverty. We leverage resources for programs and improved policies that give people living in poverty the health, education and opportunity they need to thrive.


As an international development advocacy organization, we are looking for people who love to write and are keen on submitting letters to the editor and/or op-eds to the media on issues that touch on international development and global health (access to education for girls, importance of immunization/vaccines, safe water access, tuberculosis, children's and mother's health, etc.). We will provide you with tips and tricks, support, details on issues to write on, etc. 


You will become part of a group who either meets virtually or in-person (when it'll be safe to do so). You will support one another in getting published about Results Canada's issues on extreme poverty.


To get started, fill out this online form and we'll send you the first steps to becoming a volunteer: https://resultscanada.ca/#sign-up", Results Canada," Jul 13, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41070
Board of Directors," 251 Bank Street, Suite 402 ","Bruce House, a community based organization that provides housing, compassionate care and support for people living with HIV/AIDS is currently recruiting volunteers to sit on its Board of Directors.  Some the skills we are seeking include strategic planning experience, organizational development,  financial expertise, communication skills, housing knowledge and fundraising experience.  Board members are expected to contribute about six hours per month.  The Board meets on the third Tuesday of the every month from 6:00 p.m. to 8:00 p.m.  We are currently holding our board meetings via teleconference calls. ", Bruce House," Sep 1, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42952
Un enfant vous attend!," 235 Beausoleil Dr, Ottawa ON K1N 8X8; 1345, av. Nottinghill Ottawa ON K1V 6T3; 2147, avenue Loyola Ottawa ON K1J 7W3; 350, rue Den Haag Ottawa ON K1K 0W9; 860, chemin Quinlan, Ottawa (Ontario) K1G 1R8 ; 235, av. McArthur, Vanier ON K1L 1B1; 2093 Bel-Air Dr Ottawa ON K2C 2P6.","Le Centre de services à la famille cherche des bénévoles qui aimeraient accompagner un enfant en lecture dans le programme Grands-parents à l'écoute (adultes de tout âge). Lors d'une rencontre hebdomadaire d'une heure, vous aiderez un enfant entre 7 et 12 ans à améliorer ses compétences en lecture ainsi qu'à augmenter sa confiance. Le programme est offert le jour jusqu'à la mi-mai dans six écoles de la région. Joignez-vous à nous, un enfant vous attend. Pour plus de renseignements, veuillez communiquer avec René Laprise au 613-565-5166."," Centre de services à la famille, Région de la capitale nationale"," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42742
Online English Language Tutoring to Syrian refugees (no experience necessary), online,"Volunteer tutors are needed to provide online one-to-one English language tutoring to Syrian refugees located in Ottawa.

- No prior teaching experience is necessary,

- We provide the materials

- Training and ongoing support from our qualified TESL certified Education Counsellors are provided. ", English Language Tutoring for the Ottawa Community (ELTOC)," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42387
Board Member, Ottawa,"Full details here: https://fools.ca/join-our-board/


Are you passionate about arts and culture? Interested in making theatre accessible to people from all walks of life? Do you consider yourself a Fool? Then we have the role for you!


There are currently three positions available on our board of directors.


We’re seeking individuals with backgrounds in the following professional fields: Legal, Finance, Marketing and Communications, and Donor Development.


Time commitment:


Nine board meetings per calendar year from September to June


One Annual General Meeting per calendar year in April


The option of joining various committees of interest to individual members, such as: legal, marketing and communications, finance and audit, and donor development


The opportunity to volunteer at various fundraising events throughout the year", A Company of Fools," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42351
Online French Homework and Tutoring Club through September 1, online via Zoom ,"Canadian Parents for French is looking for volunteers to act as online French tutors for children enrolled in our pilot program. Tutors will help children by speaking in French and working to improve the child's French in conversation, reading, and writing. Volunteers must be comfortable working with young kids and in both French and English


Application to volunteer : https://form.jotform.com/201173726906253


Must be okay with using zoom via computer with headphone and webcam. 

Will tutor 2-3 hours per week with kids ages 6-14. ", Canadian Parents for French," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42250
Receptionist ," 265 Montreal Road, Ottawa Ontario K1L 6C4","The role of the administrative assistant is to ensure efficient and timely operations of the office so as to support and enhance the work of the organization. The administrative assistant will work under the supervision of the executive director or the designated supervisors.


Key Qualifications

• Knowledge of standard office practices and procedures.

• Excellent keyboarding, proof reading and data entry skills with emphasis on accuracy.

• Excellent interpersonal skills with the ability to communicate effectively, both orally and in writing, and ability to develop solid professional internal and external work relationships with various levels of staff, other organizations and the public. Ability to write in a clear, concise and legible manner.

• Good organizational skills with the ability to multitask and work in a high pressure, high volume team oriented environment with minimal supervision, working independently and cooperatively with other members of the staff.

• Ability to identify and analyze problems with inefficiencies and develop effective solutions and solve problems.

• Proven ability to handle confidential and sensitive information with discretion and tact - you will be working with vulnerable populations

- Must be comfortable dealing with harm reduction kits and people dealing with mental health issues



Hours of Work


• 10:30 a.m. – 4 p.m. Monday to Friday and/or weekends 12-5.

The ideal person would be able to commit for 3-6 months, 1-2 shifts a week, and is able to commute to the Vanier area (OC Transpo Route #12 and #19 nearby)", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42134
Distress Centre Volunteer, Confidential.  Located within the Ottawa area. Accessible by OC Transpo or personal vehicle with parking.,"The Distress Centre of Ottawa & Region provides a free and confidential telephone service offering suicide prevention, crisis intervention, psychological stabilization, emotional support, information and referrals to individuals of all ages.  We help people in varying degrees of distress or crisis who are experiencing a wide range of problems including suicidal thoughts, abuse or violence, mental or physical illness, bereavement, addictions, sexuality and interpersonal problems, youth-related issues, unemployment and more.  Our volunteer Crisis Line Responders are trained in active listening techniques, communication skills, crisis intervention and suicide prevention techniques.  They help our clients assess their own situations, to establish goals and priorities, and they can link the callers to appropriate resources in the community if needed. 


If interested, please visit www.dcottawa.on.ca to fill out an application!", Distress Centre of Ottawa and Region," Jul 31, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=42073
General Operations Director, 265 Montreal Rd Vanier,"We are looking for a general operation manager. The candidate must be willing to put in 2-3 days a week of work. Experience is an asset.

Must have 2 years of managerial experience. Experience with volunteering is an asset.


During this outbreak period interviews and work may be done from home, however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important. ", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41819
Marketing Director, 265 Montreal Rd. Vanier,"We are Looking for a volunteer with vast experience that will be in charge of:

-Marketing campaigns and branding techniques for our organization

-Conducting research and analyze trends in the product or service offered by the organization to develop marketing strategies

-Promoting our services via social media i.e. Facebook, Twitter, Instagram and to the community 

-Tracking and analyzing the performance of advertising campaigns


Any other duties assigned


The candidate must have some relative experience and education related to the position. Bilingualism is an asset.


During this outbreak period interviews and work may be done from home, however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important especially during this time

", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41814
