Position,Location,Category,Organization,Date Posted,Websites,Description
Volunteer Delivery Driver,"Toronto, Ontario",COVID-19 Response,VHA Home HealthCare,2020-06-12,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=607880,"

 
Volunteer Delivery Driver (Personal Protective Equipment – PPE, & Essential Goods) 
Make a Difference in Your Community during a Time of Crisis 
VHA Home HealthCare Urgently requires volunteer delivery drivers to help deliver Personal Protective Equipment (PPE) to Personal Support Workers and Nurses at various locations in Toronto. Volunteers also deliver essential goods to clients as needed. (Optional) 
Volunteer Delivery Drivers pick-up PPE from VHA and deliver it to designated VHA staff between 9:00a.m. – 5:00p.m. Monday to Friday.  Specific locations and times are determined based on the availability of each volunteer and VHA. 
Purpose: This role ensures that staff and clients receive resources that are required to ensure that they remain safe while giving and receiving essential healthcare services. Essential Goods Delivery: ensures that clients - individuals and families, who cannot safely go out in the community, receive food and supplies to remain safe and healthy at home. 
Area Served Throughout Toronto: Scarborough, North York, East York, York, Toronto, Etobicoke 
Responsibilities 
 ·       Volunteers use their own vehicle to pick up PPE from VHA Home HealthCare and delivery it to staff
·       Volunteers will be provided with a destination address, contact and phone number, and will deliver PPE packages to VHA staff ensuring that it is received
·       Volunteers will call the VHA staff recipient to ensure they connect and delivery the PPE
·       PPE delivery is ‘no contact’ and physical distancing is maintained; Volunteers remain in their vehicle while staff load PPE into the  vehicle at pick-up, and upon arrival at the delivery location, volunteers remain in the vehicle while a staff supervisor collects PPE.
·       Volunteers text the Coordinator to confirm that the delivery is complete 
Time Commitment: Schedule to be determined and agreed by each volunteer in collaboration with the Coordinator, depending upon needed deliveries, delivery locations, volunteer availability and Volunteer location 
Age Requirement: Must be 18 years or older 
Skill Requirements / Qualifications 
·       Commitment, Reliability, Punctuality, Friendly, Flexible, Safe Driver, Committed to physical distancing 
·       Valid Driving License and good driving record – Driver Form & Waiver provided by VHA and must be signed by volunteer 
·       Proof of valid driving insurance 
Time Commitment 
·       2 or more hours per week between 9am-5pm Monday – Friday with specific days and times to be determined with each individual volunteer 
·       Volunteers may take as few or as many shifts a week as they like 
Boundaries 
·       Maintain privacy and confidentiality of all information that you may have access to through your role, including but not limited to names, locations/addresses and telephone numbers 
·       Maintain physical distancing – minimum 2 meters between self and others 
·       Maintain vehicle in good working order 
·       Maintain vehicle/driver licenses and insurance 
Benefits 
·       Opportunity to support your community in a highly impactful way during a time of great need 
·       Personal satisfaction as you provide a vital service to VHA staff, clients and the community 
·       Engagement with a professional and supportive organization 
·       Reference provided upon completion of commitment 
Screening, Training, Support 
·       Orientation, Application and Interview, 2 References are required  
·       Vulnerable Sector Screening (Level 3 Police Check), required 
·       Online training prior to volunteering 
·       Signing Driver Form, Policies and Waiver 
·       On-going support and communication from Coordinator
Working Conditions 
·         Driving own car, transporting vital goods 
·         Some engagement with VHA staff 
·         All weather conditions 
If you require accommodation to participate in the application and screening process, please let us know. 

For more information & to apply, contact: 
Dawn Ashford, BSW, CVA, Coordinator of Volunteers 
(647) 461-9485; Email:  dashford@vha.ca or apply online at www.vha.ca

About VHA Home HealthCare 
Since 1925, VHA Home HealthCare—a not-for-profit, charity—has empowered Ontarians to create possibilities for more independence. VHA’s team of over 2,000 support clients in throughout Ontario and are a founding member agency of United Way Toronto.
 


"
MARKETING WRITER,"Mississauga, ON",Education and Literacy,LetsStopAIDS,2020-06-12,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=607868,"


MARKETING WRITER
LetsStopAIDS is a Canadian youth-HIV charity that focuses on HIV prevention and knowledge exchange by engaging young people and fostering leadership. Since 2004, we have been creating a global network of youth-HIV leaders. 
The Marketing Writer will be responsible for providing professional guidance and expertise as it relates to writing articles, information research (including basic science and HIV subject’s research) and writing based on research results.
About You:


An understanding of HIV


Must be flexible, adaptable


Able to read and research prior scientific publications, as needed, to facilitate content production


Must be organized, methodical, detail-oriented


Able to work independently


Capable of managing multiple on-going projects with varying, and sometimes competing, deadlines.


Excellent written and oral communication skills


Prefers strong interpersonal skills, excellent written and oral communications skills, process and detail-oriented


Three or more years of experience as a science writer, grant writer or similar, producing content across a variety of mediums (text, graphics)


Strong skills using Google Docs and GSuite applications.


Responsibilities:


Follow our Editorial Style Guide for script generation to produce informative, interesting, and scientifically accurate articles


Generate scientific documents using our Style Guide


Helps write key scientific information.


Translates study data and results into presentations, reports and articles


Maintains familiarity with relevant research, conducts literature reviews, and manages references.


Formatting articles in the correct order for specific publications.


Assists with the design, development, and selection of scientific illustrations, tables, and figures


Manage updates and revisions of scientific literature, transforming the information accessible to youth


Ensure timely production of high-quality documents for publication or presentation in meetings and of other written communication material supporting organization brands, research activities, and organizational needs


Performing other assigned duties that may be required in meeting organization goals and objectives


Dedication: The role will require 5-8 hours per week and the successful candidate may choose to work remotely, however, the different tasks involved may sometimes require irregular volunteer hours, particularly in times of need.


How to Apply 




All applications will only be accepted at https://www.LetsStopAIDS.org/get-involved.


Please ensure you indicate the role title of this post when you submit your application!




Here’s a video about LetsStopAIDS -- https://youtu.be/5B6-LBgWBYU



Thank you!



"
Meals on Wheels Program Helper,"Toronto, Ontario",Food Preparation and Kitchen Support,Meals on Wheels and More,2020-06-12,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=570959,"

Meals on Wheels and More, located at 80 Sheppard Avenue West, is a non-profit community service agency providing meals on wheels service to community members in North York.  We are looking for volunteers to assist in our meals-on-wheels program on Wednesday from 2 p.m. to 3:30 p.m. Minimum one shift per week for 6 months.  
Qualifications, Skills and Knowledge:
1. An interest in/or understanding of supporting the Meals on Wheels program.
2. Ability to follow instructions and complete a task independently.
3. Reliable and punctual.
4. Previous experience is not required.
Position summary:
1. Organize and ensure the Meals-on-Wheels bags are sanitized, sorted and stored properly and ready for the next day.
2. Inspect any wear and tear or damage to the bags and report to staff.
3. Keep sorting area and kitchen clean and tidy.
4. Training will be provided.
Transportation: Close to subway station and bus stop.
 


"
Volunteer food delivery driver,"Toronto, Ontario",Driving and Transportation,Mom's kitchen,2020-06-11,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=607707,"

Mom’s kitchen is a volunteer-run not-for-profit organization that provides Pay-What-You-Can (PWYC)  home-cooked meals across Toronto. We believe that food is way more than just a basic human right - a home-cooked meal evokes nostalgia, is a way to reconnect to one's culture and roots, and a way to connect with family.


We hire women from all over the world (Somalia/ Ethiopia/ Pakistan/ Bangladesh, Jamaica, etc.) who live in Toronto and cook recipes that have been in their families for generations. By having a PWYC model, we make these home-cooked meals accessible to everyone, as we truly believe that everyone deserves a place at the table. Those who can afford more are able to ‘pay it forward’, while those who are under tight financial situations are able to consume a home-cooked meal for free.
 
 
We are looking for volunteers that can help us deliver these meals to people's homes. Deliveries are on Wednesday from 4-6pm - you will be asked to deliver between 5-10 meals, and should not take more than 1-2 hours of your time. 
 
What are the requirements for volunteers? 

 Ability to navigate commuting in the community including adhering to social/physical distancing while making deliveries.
 A valid driver’s license, a personal vehicle and insurance in good standing.
 Support drop-off of “no contact meal deliveries” to clients based on a pre-scheduled route of services.

 
 Please note Mom's Kitchen will be providing face masks to any volunteers that would like some. 
 
If interested in this opportunity, please email momskitchento@gmail.com

"
Volunteer Driver -COVID-19 COMMUNITY EMERGENCY RELIEF - FOOD PROGRAM,"Scarborough, Ontario",COVID-19 Response,East Scarborough Storefront,2020-06-10,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=604011,"

 
The Storefront facilitates collaboration, builds community and supports people to learn and create together, to live healthy lives, to find meaningful work, to play and thrive.                        We work with 40 different community partners to bring much needed community services to East Scarborough.
 
Currently we are supporting a grassroots group Emmanuel Life Management Center in PARTNERSHIP WITH LOCAL Restaurant Spice It Up  to recruit volunteer drivers.                    
 
● In response to the COVID-19 pandemic, Emmanuel Life Management Center in PARTNERSHIP WITH LOCAL Restaurant WILL DISTRIBUTE EMERGENCY GROCERIES TO 
   VULNERABLE FAMILIES.
● DURING THIS TIME THE SPACE WILL BE USED TO HAND-OUT Pre-PACKED GROCERIES GROCERY & A CUP OF HOT SOUP.
● We continue to follow the guidelines of the World Health Organization while practicing physical distance.

   EVERY WEDNESDAY FROM 12 PM – 3PM (DROP-IN/DELIVER)
   CONTACT: 437-886-4694 (Janel) or Email: elmc2010@hotmail.ca
   LOCATION: 4352 Kingston RD. (Spice-it-up Restaurant)
   www.elmcgroup.org
 
 
 
 
 
 
 

"
Meals on Wheels Driver - Volunteer,"Barrie, Innisfil, Collingwood, Wasaga Beach, Midla, Ontario",Seniors and Long-Term Care,Canadian Red Cross,2020-06-09,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=607478,"

						Purpose: 
Deliver nutritious meals to elderly, chronically ill, vulnerable clients in various cities throughout the province of Ontario
 
Recruiting only in Locations:
Barrie, Innisfil, Collingwood, Wasaga Beach, Midland/Penetang, Bracebridge, Gravenhurst, Burlington, Flamborough, Brantford, Etobicoke (Toronto), Sarnia, Hearst, Cochrane, Iroquois Falls, Kapuskasing, Timmins


Duties & Responsibilities:
Drive a volunteer runner and transport meals for delivery to clients
Assist with sorting of meals
Review meal delivery route and map to plan trip prior to leaving the office
Where needed, provide suggestions to improve sequence of client deliveries in the assigned route to office staff for revision of route sheet
Provide ample notice to Volunteer Coordinator, if unable to perform volunteer duty as scheduled

Qualifications:
Good communication skills
A valid Class G or higher Ontario Drivers’ licence
At least 2 years’ driving experience. Good driving record.
A valid Emergency First Aid Certificate with training provided by the Red Cross, if driving a Red Cross Vehicle. If driving personal vehicle, must have $1 million liability insurance
Demonstrated ability to handle client related incidents after training
Punctual, reliable conscientious, sensitive to needs of seniors/people with disabilities
 

Time Commitment:
Can range from 1.5 to 3 hours, 1 day a week
 

Training & Development:
Orientation to the Canadian Red Cross/Red Crescent Society Movement
On the job specific training
 

Benefits & Opportunities:
Opportunity to be part of a worldwide humanitarian organization
Serve the community
Gain practical work experience and develop valuable skills
A rewarding experience from helping to provide clients with nutritious meals, and to enable them to live independently in their own homes
					
"
"Chair, Advisory Panel","Brampton, Ontario","Boards, Committees, and Leadership","Arts, Culture and Creative Industries Development Agency",2020-06-09,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=607447,"

Brampton is a city focused on the future. We serve one of the youngest, fastest growing, and most diverse cities in the country. We are building a vibrant community that ignites opportunity and instills pride in the people who live and work here. Now the 9th largest city in Canada and a pioneer of suburban excellence, Brampton is undergoing a major transformation and has recognized that the time is right to re-vision the city in all respects, including the city’s culture master planning process. Brampton’s Culture Master Plan will enhance opportunities for quality of life and economic development that a robust arts and culture sector can bring to residents and businesses.

Operating as a project incubated under the Strategic Communications, Corporate Support Services Division of the City of Brampton, the Arts, Culture and Creative Industries Development Agency is an exciting new start-up with anticipated transition to independent not for profit status within two years. Its mission is “to incubate, advance, connect and advocate for Brampton’s arts, culture and creative industries” with a vision of “a thriving, confident and valued creative scene and cultural ecology that is the heart of our prosperous, mosaic city”.
Appointed by Brampton City Council, and working closely with the Director, Strategic Communications, Culture and Events, the inaugural Chair, Advisory Panel will lead the start-up and incubation of the Agency, and provide advice on the recruitment of the Senior Program Lead and the volunteer Advisory Panel.

We are seeking a remarkable individual with the commitment and vision to play a key role in building the arts ecology in Brampton. With experience in startups, not for profit governance and stakeholder relations in the City of Brampton, the Chair will provide governance and advisory leadership through the incubation period of the agency and its transition to independent not for profit status. Working with Cultural Services staff, the Chair will leverage the Brampton City Council endorsed report and organizational model as a blueprint for the formation of the Agency, including the Mission/Vision/Values, Implementation Plan, Advisory Panel Terms of Reference and Advisory Panel Matrix (http://bit.ly/ArtsAgency). This is a volunteer position starting immediately with a limited term of two years and/or completion of transition of the Agency to independent non-profit status.

"
ShelterBox Canada Advocate (Social Media),"Toronto, Ontario","Advocacy, Policy, and Research",ShelterBox Canada,2020-06-09,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=530382,"

 
ShelterBox Canada Advocate
Use your voice to amplify our message
 
Who We Are: ShelterBox Canada is an international disaster relief charity that hand-delivers emergency shelter and the tools families need to self-recover after natural disasters and conflict around the world. Recovery starts with shelter. Having somewhere dry and warm t sleep, to prepare meals and be with your family is vital for staring the long process of recovery.
Purpose: At ShelterBox, we are impatient to create a world where no family is without shelter when disaster strikes. Together, we are making an impact and you are a critical part of our movement. Every volunteer is instrumental in providing shelter to families after disaster, wherever they are in the world. Whatever skills, knowledge or spare time you have, you can play a vital part in this process. All we need is your passion.
We need volunteers who will help us raise awareness across various social media platforms. As a ShelterBox Canada Advocate, you support ShelterBox by sharing our recent news and updates from the field. You also have the opportunity to develop your own creative content. 
Main Objective: Raise awareness for ShelterBox Canada through social media promotions
Tasks:

Following ShelterBox Canada across our social media platforms (Facebook, Twitter, Instagram, LinkedIn)
Sharing our social media posts on your own channels
Get creative - make your own ShelterBox posts and creative content to engage with people on your own social media channels – we’ll provide you with all the tools and training you need to do this
Activate in times of disaster – when major disasters strike families need our help more than ever. During this time we need the support of our volunteers to share important updates about our current response. We need your support to share these urgent updates to your network and help us to raise awareness while the disaster is in the media spotlight. 

Skills: We are looking for volunteers who are familiar with social media; enjoy creating their own content; and above all have an enthusiasm for spreading the word and rallying support for ShelterBox.
Time Commitment: You can be flexible around your schedule and volunteer whenever works best for you, all we need is your enthusiasm and willingness to get involved. Advocates are expected to post on social media a minimum of once a month, however you can always post more than this.  
Location: Wherever you have access to an internet connection

"
Philip Aziz Centre Hospice Palliative Care Volunteer Information Sessions ,"Toronto,",Health and Mental Health,Philip Aziz Centre & Emily's House,2020-06-09,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=541854,"

We hold Monthly Volunteer Information Sessions! 
Sessions are currently being offered virtually.


"
Hospice Palliative Care Volunteer/End-Of-Life Care/Community Program,"Toronto, Ontario",Accessibility and Disabilities,Philip Aziz Centre for Hospice Care,2020-06-09,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=312679,"

Responding to COVID-19, Philip Aziz Centre and Emily's House has implemented adapted programming. Regular service delivery through Volunteers has been modified. However, in anticipation for when regular service delivery can resume, Volunteers may proceed with our application, screening and training process - and of course be welcomed to volunteer in the adapted program and join our crew! Thank you for your understanding and we look forward to meeting you!
 
- Sincerely, Amanda Maragos, Director of Client Services and Volunteer Programs










Philip Aziz Centre for Hospice Care

Philip Aziz Centre (PAC) is a non-profit, community hospice palliative care organization providing practical, physical, emotional and spiritual support for people living with terminal and/or life-limiting illnesses. Hospice Services are delivered through a small professional staff team and large base of trained volunteers, who work in collaboration with healthcare professionals and other agencies involved in client’s care.
This is an excellent opportunity for anybody who has a desire to work in healthcare and/or social services. Meet your personal and professional goals by joining our hospice palliative care team! Professional Palliative Care Training is free with your commitment to support clients - certificate of completion included!
This is ideal for anybody who...

Anybody who wants to fulfill a personal goal
Needs to fulfill the requirements of a school placement/internship
Wants to learn, network, socialize, meet new people and help others at the same time

Transportation: TTC accessible
Minimum hours per week: 4






 
 
 
 
 
 
 
 




Job Description:




Volunteers in the community based hospice caregiver program provide non-medical care, which is integrated into the professional health and palliative care team in a client’s place of residence. Volunteer Support includes: emotional and social support (psychosocial support), assistance with mobility, respite care for primary caregivers (allows a break from caregiving), practical care; including assistance with daily activities of living, accompaniment to medical appointments and other errands.
Responsibilities:
· To complete volunteer training program and participate in on-going education opportunities
· To uphold the client’s right to dignity and self-determination
· To adhere to the Philip Aziz Centre Policies and Procedures
· To advise Manager of Volunteers & Case Manager in a timely manner if unable to fulfill duties
· To maintain a clear vision of the volunteer role with clients
· To maintain confidentiality and abide by hospice rules
· Must be prepared to make a commitment of at least one year following training
· Manager of Volunteers & Case Manager of vacation or sick leave, giving as much notice as possible
· Visit client according to schedule 
· Support client by providing companionship and comfort, also assisting client with daily activities of living.
· Work as part of support team
 




Job Location:


Various locations in Toronto, dependent on placements. 


Confidentiality Agreement and Volunteer Service Agreement Required:


Yes




Hospice Training Required:


Yes


Vulnerable Sector Police Check Required:


Yes




Volunteer Position Status:


Part-time


Familiar with relevant Policy and Procedures from Manual and Legislative Requirements:


Yes 




Preferred Gender:


No


Position Length


Min. 1 year




Skills:




Qualifications:

Willingness to continue education regarding a variety of life-limiting and terminal illnesses
Sensitivity and compassion
To be non-judgmental
Ability to make decisions in crisis situations
Ability to work as a member of the hospice team
Ability to work well independently and be supportive
Ability to take direction and accept supervision
Respect diversity and accept individual beliefs and reactions to death and dying
Project a warm, caring and empathetic attitude 
Can serve according to PAC’s Mission, Vision and Value Statement





 



"
Children's Hospice Palliative Care Volunteer/Caregiver/Family Support,"Toronto , Ontario",Children and Youth,Philip Aziz Centre & Emily’s House Children’s Hospice,2020-06-09,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=312670,"

 
Responding to COVID-19, Philip Aziz Centre and Emily's House has implemented adapted programming. Regular service delivery through Volunteers has been modified. However, in anticipation for when regular service delivery can resume, Volunteers may proceed with our application, screening and training process - and of course be welcomed to volunteer in the adapted program and join our crew! Thank you for your understanding and we look forward to meeting you!
- Sincerely, Amanda Maragos, Director of Client Services and Volunteer Programs






Philip Aziz Centre & Emily’s House Children’s Hospice Palliative Care Volunteer
Philip Aziz Centre & Emily’s House is dedicated to caring for children with terminal illness & complex medical care needs while supporting their families. Programs include respite/advanced respite, transitional care, pain & symptom management, spiritual/bereavement, perinatal, end-of-life care, community care visits and more! You can support our Community Program, Residential Hospice or both!
This is an excellent opportunity for anybody who has a desire to work with children and their families in healthcare and/or social services. Meet your personal and professional goals by joining our hospice palliative care team! Professional Palliative Care Training is free with your commitment to support clients - certificate of completion included!
Transportation: TTC accessible
Minimum hours per week: 4
Ideal for anybody who...

Wants to fulfill a personal goal
Needs to fulfill the requirements of a school placement/internship
Wants to learn, network, socialize, meet new people and help others at the same time



Job Description:




The Philip Aziz Centre & Emily's House provides training for volunteers to work with children in any of our Children's Hospice Palliative Care Programs (Community Program or Residential Hospice)
 
Responsibilities:
· To complete volunteer training programs
· To uphold the client’s right to dignity 
· To adhere to the Philip Aziz Centre & Emily House Policies and Procedures
· To advise Manager of Volunteers and/or department assistant in a timely manner if unable to fulfill duties
· To maintain a clear vision of the volunteer role with clients
· To maintain confidentiality and abide by hospice rules
· Must be prepared to make a commitment of at least 6 months following training
· Notify Manager of vacation or sick leave, giving as much notice as possible
· Visit clients according to schedule 
· Support client by providing companionship, physical comfort, therapeutic play, and care 
· Work as part of support team – assist clinical staff
· Support the parents, friends or primary caregivers of the children who may be residing at EH temporarily
· Working with other volunteers and staff; supervising, playing with and entertaining children/youth
- Must complete Core and Children's training




Job Location:


- Community Program (various locations) 
- Residential Program (Emily’s House, 45 Jack Layton Way, Toronto, ON M4M 0B7) 


Confidentiality Agreement and Agency Participation Agreement Required:


Yes




Hospice Training Required:


Yes, Complete Children’s Training Program & Core Training Program


Vulnerable Sector Police Check Required:


Yes




Volunteer Position Status:


Part-time


Familiar with relevant Policy and Procedures from Manual and Legislative Requirements:


Yes




Preferred Gender:


No


Position Length


Min. 6 months






  
 
 
 
 
 
 
 
 
 
 





Qualifications:

Willingness to continue education regarding a variety of life-limiting and terminal illnesses
Sensitivity and compassion
To be non-judgmental
Ability to make decisions in crisis situations
Ability to work as a member of the hospice volunteer/clinical staff team
Ability to work well independently and be supportive
Ability to take direction and accept supervision
Respect diversity and accept individual beliefs and reactions to death and dying
Project a warm, caring and empathetic attitude
Can serve according to PAC’s Mission, Vision and Value Statement
Must work well with Children – prior experience an asset
Must be willing to attend ongoing children’s training workshops and seminars






 
 
 












"
Mentors for post-secondary youth,"Toronto, Ontario",Social Services and Poverty Reduction,Yonge Street Mission,2020-06-08,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=556031,"

Do you want to create a meaningful and long-lasting impact on youth living with poverty? 
 
We invite you to be a mentor for youth entering post-secondary education. 


As a mentor, you will be working with a youth who are part of YSM and is liveng with poverty. Youth mentees are very talented and have significant achievements in their lives. Mentees are carefully selected to receive the student awards grant from YSM to help fund their post-secondary education. 


Your role is to build a trusting, empathetic, and mutual relationship with a mentee and provide discernment as your mentee navigate the complex and uncharted yet exciting world of university/college. You as a mentor will model healthy behaviour and interactions as your mentee adopts adult values and enters the world of adulthood. 


We are seeking mentors who will empower and allow the youth to come up with their own solutions and ideas as they work through things like personal challenges, peer concerns, stress, competing academic and/or life demands, financial issues, goal setting, and career discernment.


If you are a successful candidate to be a mentor, you will be matched with one mentee and you are expected to meet with your mentee at least twice a week for one year. 


We are currently seeking committed individuals who are at least 24 years old, come from a variety of backgrounds and experiences, are mature, positive, professional, and motivational. To provide the best match for our students, we are seeking mentors who have been down the post-secondary journey themselves and possess a post-secondary degree or diploma.
 
Thank you for your interest in becoming a mentor. As of this moment, we have enough mentors who identify as female. We are currently looking for mentors who identify as male to mentor male post-secondary mentees. 
 
If you are interested, please contact Gerald Darroles @ Yonge Street Mission gdarroles@ysm.ca

"
VOLUNTEER WITH YOUTH- LIFE CHANGING EXPERIENCE,"Toronto, Ontario",Children and Youth,The Peer Project-Youth Assisting Youth,2020-06-08,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=242680,"

 
 VOLUNTEER WITH YOUTH- LIFE CHANGING EXPERIENCE
BE A MENTOR! MAKE A DIFFERENCE
 Empowering Children & Youth To Make Good Decisions 

ABOUT OUR PROGRAM:
Youth Assisting Youth (YAY) is a non-for-profit organization that gives youth an opportunity to volunteer in their community. 





-Peer mentors are young adults aged 16-29 that act as positive role models to help at-risk and newcomer kids aged 6-15 to reach their full potential.
Be a Role Model & have fun bonding with the youth while engaging in social and/or academic activities

-All we ask from you is: To spend (3 hours per week) with the youth. 
-The youth you will be paired up with will have similar hobbies and interests to you. They will also live nearby to your location. We make it very easy for you to have an enjoyable time by providing chances of many trips and event.
 





To apply contact Romey via Email: romey@yay.org 
 
LOCATION:
The Areas the youth are located are as follows: YORK REGION, ETOBICOKE, NORTH YORK, SCARBOROUGH, and DOWNTOWN TORONTO.
 
BENEFITS:
-Gain Valuable experience , build a better Resume and have more references
-Get trained, Get a certificate, Get Scholarship Opportunities
-Make a concrete difference, Figure out what you want to do in the future
-Attend free events and get tickets to: Raptors , Blue Jays, Argos and Maple Leaf games, Wonderland, Bowling and much more.
 
HOPE TO HEAR FROM YOU! 
 
Thanks,
Training Sessions will be held online, please contact romey for more information at romey@yay.org 
Phone: 416.932.1919 Ext. #234 | Fax: 416.932.1924
Toll Free: 1.877.932.1919
www.youthassistingyouth.com


"
Hoarding Support Volunteer,"Toronto, Ontario",Health and Mental Health,VHA Home Healthcare,2020-06-06,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=219887,"

 
 
Hoarding Support Coach - Volunteer - Make a Difference in Your Community
 (Similar employment opportunities available)
 Purpose: Help to increase overall health and well-being and improve quality of life of our clients in the Volunteer Hoarding Support Program. The program is designed to help vulnerable, isolated individuals with hoarding tendencies de-clutter, sort and organize their homes. Developed from a harm reduction approach, we provide clients with opportunities that help improve their social, physical, mental and emotional health. 
 
PRIMARY RESPONSIBILITIES AND TASKS
·         Assist clients to de-clutter and organize their living space
·         Assist clients to let go and discard of items.
·         Assist clients to establish realistic and client-driven goals for organization, maintenance, and safe living. 
 
Other responsibilities

Work with client at their own pace, while maintaining clear goals
Foster and establish appropriate use of cleared living spaces.
Be attentive to client's emotional state
Submit Volunteer Log to the Supervisor after each visit.
Report concerns immediately to the Program Supervisor.
Maintain confidentiality of client information.
Notify the Supervisor as soon as possible if unable to volunteer on an assigned date.
Attend monthly support meeting.

 
TIME COMMITMENT 

1 Visit per week
3 hours per visit
One day - Monday - Friday between 9am - 5pm
Each assignment is 12 weeks in duration
Additional assignments available if desired

AGE REQUIREMENT Minimum be 18 years-old
 
QUALIFICATION
·         Good communication skills: Oral and Active Listening.
·         Motivated and patient.
·         Interest in mental health issues and compulsive hoarding.
·         Feel comfortable working with a client in their home.
·         Friendly, reliable, responsible, non-judgmental and non-discriminating.
·         Able to act independently within the boundaries of the position description and client needs and goals.
·         Creativity in planning and implementing activities.
·         Knowledge of community resources (local dumpsters, community health centers, donation  drops) 
Experience working in the mental health field an asset.
 
BENEFITS
·         Receive excellent training provided by VHA’s regulated staff. 
·         Develop skill sets in working in mental health
·         Personal growth and professional development
·         Resume building
·        Reference letter given after fulfillment of commitment
 
ORIENTATION AND TRAINING
·         Orientation & training by VHA regulated professional
·        Training in motivational interviewing and hoarding research
 
SCREENING AND SUPERVISION
·         Application form with 2 professional references
·         Interview
·         Signed Volunteer and Role, Confidentiality Agreements, Policies & Waiver
·         Clear Criminal Reference check and Vulnerable Sector Screening 
Attend training and complete online training
·         Report to supervisor weekly
·         Supervisor will be available for feedback and support






"
